beta,Rate,ActiveDims,EffectiveDims,MeanSigma,MedianSigma,MeanAbsMu,D_mu,D_sample,StochasticityGap
0.0001,338.115966796875,128,122.81146240234375,0.22858472168445587,0.22843962907791138,1.2692115306854248,0.2494291559855143,0.2535440762837728,0.004114920298258495
0.0003,222.94186401367188,128,123.36614990234375,0.31286531686782837,0.31323736906051636,0.9852132201194763,0.2521402359008789,0.2643396250406901,0.012199389139811168
0.001,122.4925765991211,128,121.37652587890625,0.4654259979724884,0.4639796018600464,0.7467094659805298,0.2591440677642822,0.2982296752929687,0.03908560752868645
0.01,33.73514938354492,128,114.96794891357422,0.7710474133491516,0.7771391272544861,0.4514261484146118,0.3220074844360351,0.4916910807291667,0.16968359629313157
