model,beta,MSE,SNR,LogMelMAE
Noisy input,,0.0025011068295376997,-3.865824260165294,22.70270683288574
beta=1e-04,0.0001,0.000469589256135805,5.73258681702738,7.137382146517436
beta=3e-04,0.0003,0.00048509922862649546,5.652597944432249,7.136724636554718
beta=1e-03,0.001,0.0005099176010359466,5.5311761516270534,7.193729407787323
beta=1e-02,0.01,0.0007445743144944572,4.416874487511814,7.815229247411092
