beta,tau,tau2,LatentDisp,LatentTheory,OutputDisp,ReconD
0.0001,0.0,0.0,0.0,0.0,0.0,0.24942915598551432
0.0001,0.25,0.0625,0.510050479888916,0.5072105026245117,0.0002804393246769905,0.24967091941833497
0.0001,0.5,0.25,2.040201909383138,2.028842010498047,0.0011191848789652188,0.250434494972229
0.0001,0.75,0.5625,4.5904542999267575,4.564894460042318,0.00251424070696036,0.251725466410319
0.0001,1.0,1.0,8.1608076171875,8.115368041992188,0.004465372011065483,0.253544082959493
0.0001,1.25,1.5625,12.751261962890625,12.680261942545572,0.006973185847202937,0.2558959948221842
0.0001,1.5,2.25,18.361817301432293,18.25957784016927,0.010040473908185958,0.25878440856933593
0.0001,2.0,4.0,32.64323059082031,32.46147216796875,0.017870949387550353,0.2662119900385539
0.0003,0.0,0.0,0.0,0.0,0.0,0.2521402359008789
0.0003,0.25,0.0625,0.9535548222859701,0.9483070882161458,0.0008068717954059441,0.2528808135986328
0.0003,0.5,0.25,3.814219263712565,3.7932283528645834,0.0032208766937255858,0.2551461741129557
0.0003,0.75,0.5625,8.581993286132812,8.534763285319011,0.007244992305835088,0.25895456059773764
0.0003,1.0,1.0,15.256877136230468,15.172913411458333,0.012895803034305573,0.2643396253585815
0.0003,1.25,1.5625,23.83887038167318,23.707676798502604,0.020196207384268444,0.2713354908625285
0.0003,1.5,2.25,34.327973307291664,34.139053141276044,0.029185094753901165,0.2799841003417969
0.0003,2.0,4.0,61.02750797526042,60.691653645833334,0.05244627809524536,0.30247832934061686
0.001,0.0,0.0,0.0,0.0,0.0,0.2591440677642822
0.001,0.25,0.0625,1.9027740809122722,1.8948958841959636,0.0025088407670458158,0.26152415879567464
0.001,0.5,0.25,7.611096323649089,7.579583536783854,0.01005068360765775,0.2686711829503377
0.001,0.75,0.5625,17.124967000325523,17.054063313802082,0.02277022369702657,0.28080550638834634
0.001,1.0,1.0,30.44438525390625,30.318334147135417,0.04093994136651357,0.2982296822865804
0.001,1.25,1.5625,47.569352823893226,47.37239827473958,0.06495259586970012,0.32136014302571614
0.001,1.5,2.25,68.4998681640625,68.21625325520833,0.09525078662236532,0.3506507339477539
0.001,2.0,4.0,121.77754166666666,121.27333658854167,0.17655035400390626,0.4296257826487223
0.01,0.0,0.0,0.0,0.0,0.0,0.32200748443603516
0.01,0.25,0.0625,4.85689035542806,4.84460220336914,0.010172364175319672,0.33133799393971763
0.01,0.5,0.25,19.42756134033203,19.37840881347656,0.041547138611475624,0.3595602086385091
0.01,0.75,0.5625,43.7120137125651,43.60141845703125,0.0978990085919698,0.41113552474975584
0.01,1.0,1.0,77.71024487304688,77.51363525390624,0.18443107970555622,0.4916910877227783
0.01,1.25,1.5625,121.42225862630208,121.11505208333334,0.3054532772699992,0.6058198165893555
0.01,1.5,2.25,174.8480546875,174.405673828125,0.46371923573811846,0.7564380378723145
0.01,2.0,4.0,310.8409833984375,310.054541015625,0.8974790293375651,1.1728540941874186
