beta,seed,Rate,D_mu,D_sample,Gap,MeanSigma
0.0001,42,338.1159765625,0.24942915598551432,0.2537645149230957,0.004335358937581385,0.22858471870422364
0.0001,123,340.72710611979164,0.2500422732035319,0.253804718653361,0.0037624454498291215,0.22671918233235677
0.0001,2026,339.38095703125,0.2504887898763021,0.2541534614562988,0.0036646715799967255,0.22370249430338543
0.001,42,122.4925732421875,0.2591440677642822,0.2989820607503255,0.03983799298604329,0.4654259936014811
0.001,123,118.13783365885416,0.26131460507710774,0.3016929753621419,0.04037837028503416,0.4792365074157715
0.001,2026,117.81155598958334,0.26229929288228354,0.3019340451558431,0.03963475227355956,0.4810219701131185
0.01,42,33.73515055338542,0.32200748443603516,0.4933943239847819,0.17138683954874673,0.7710474268595378
0.01,123,32.79965169270833,0.32905422846476234,0.4911531766255697,0.16209894816080733,0.7881985219319662
0.01,2026,30.538709716796873,0.34030093510945636,0.508425776163737,0.1681248410542806,0.8153039423624674
