beta,MSE_mu,MSE_sample,SNR_mu,SNR_sample,LogMel_mu,LogMel_sample
0.0001,0.000469589256135805,0.0004779953447644706,5.73258681702738,5.670916519216573,7.137382146517436,7.188578651269278
0.0003,0.00048509922862649546,0.0005095760826934565,5.652597944432249,5.483731539326099,7.136724636554718,7.274349749167759
0.001,0.0005099176010359466,0.0005813249149487092,5.5311761516270534,5.0016577976311085,7.193729407787323,7.6407801583608
0.01,0.0007445743144944572,0.0009578810986295139,4.416874487511814,2.942675553568154,7.815229247411092,9.345329240083696
