beta,Rate_mean,Rate_std,D_mu_mean,D_mu_std,D_sample_mean,D_sample_std,Gap_mean,Gap_std,Sigma_mean,Sigma_std
0.0001,339.40801323784723,1.3057750265559052,0.24998673968844942,0.0005319952763884,0.25390756501091855,0.00021389923181208052,0.003920825322469078,0.0003623099790911917,0.22633546511332195,0.0024636269914848877
0.001,119.480654296875,2.613494993149117,0.2609193219078912,0.0016143258575070762,0.3008696937561035,0.0016391758400902626,0.03995037184821234,0.000384335391610202,0.47522815704345706,0.008535735197879021
0.01,32.35783732096354,1.6433832358165577,0.33045421600341796,0.009226730635307224,0.4976577589246962,0.009392461435461729,0.16720354292127823,0.004711987297939687,0.791516630384657,0.022314057763955206
